Subject,Difficulty,Question,Answer1,Answer2,Answer3,Answer4,Correct,Explanation,Points
Geography,easy,What is the capital of France?,London,Berlin,Paris,Rome,2,Paris is the capital of France,100
Geography,easy,Which continent is Egypt located in?,Asia,Africa,Europe,South America,1,Egypt is in Africa,100
Geography,easy,What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,3,The Pacific Ocean is the largest,100
Geography,average,What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,1,The Nile River is the longest at ~6650 km,200
Geography,average,Which country has the most time zones?,USA,Russia,France,China,2,France has 12 time zones (including territories),200
Geography,average,What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,1,Vatican City is the smallest at 0.44 kmÂ²,200
Geography,difficult,What is the deepest point in the ocean?,Java Trench,Mariana Trench,Puerto Rico Trench,Tonga Trench,1,Mariana Trench (~11000 m deep),400
Geography,difficult,Which African country was formerly known as Abyssinia?,Eritrea,Somalia,Ethiopia,Sudan,2,Ethiopia was historically called Abyssinia,400
Geography,difficult,What is the capital of Mongolia?,Astana,Bishkek,Tashkent,Ulaanbaatar,3,Ulaanbaatar is Mongolia's capital,400
Geography,impossible,How many countries does the Danube River flow through?,6,8,10,12,2,The Danube flows through 10 countries,800
Geography,impossible,What is the only sea without any coastline?,Dead Sea,Caspian Sea,Sargasso Sea,Red Sea,2,The Sargasso Sea is bounded by ocean currents,800
Geography,impossible,What percentage of Earth's surface is covered by Russia?,1.5%,2.1%,3.4%,4.2%,0,Russia covers about 1.5% of Earth's surface,800
Technology,easy,What does URL stand for?,Universal Resource Locator,Uniform Resource Locator,Universal Reference Link,Uniform Reference Link,1,URL = Uniform Resource Locator,100
Technology,easy,Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Elon Musk,1,Bill Gates co-founded Microsoft in 1975,100
Technology,easy,What does AI stand for?,Automated Intelligence,Artificial Intelligence,Advanced Integration,Automatic Interface,1,AI = Artificial Intelligence,100
Technology,average,What year was the first iPhone released?,2005,2007,2009,2011,1,The first iPhone was released in 2007,200
Technology,average,What does GPU stand for?,General Processing Unit,Graphics Processing Unit,Global Processing Unit,Graphical Performance Unit,1,GPU = Graphics Processing Unit,200
Technology,average,Which company developed ChatGPT?,Google,Microsoft,OpenAI,Meta,2,OpenAI developed ChatGPT,200
Technology,difficult,What is the primary programming language used for machine learning?,Java,C++,Python,JavaScript,2,Python is the dominant language for ML/AI,400
Technology,difficult,What does LLM stand for in AI?,Large Language Model,Linear Learning Machine,Logical Language Module,Long-term Learning Memory,0,LLM = Large Language Model,400
Technology,difficult,What year was the World Wide Web invented?,1983,1989,1995,2001,1,Tim Berners-Lee invented the WWW in 1989,400
Technology,impossible,How many parameters does GPT-4 approximately have?,175 billion,540 billion,1 trillion,1.76 trillion,3,GPT-4 is estimated to have ~1.76 trillion parameters,800
Technology,impossible,What was the first computer virus called?,ILOVEYOU,Creeper,Morris Worm,Melissa,1,Creeper (1971) was the first computer virus,800
Technology,impossible,What is the maximum theoretical speed of USB 4.0?,10 Gbps,20 Gbps,40 Gbps,80 Gbps,2,USB 4.0 supports up to 40 Gbps,800
